"filename", "language", "JavaScript", "Batch", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "Markdown", "YAML", "XML", "JavaScript React", "comment", "blank", "total"
"c:\RiskEstimationRecorder\software\source\imports\startup\client\routes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Breadcrumb\Breadcrumb.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10, 62
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Breadcrumb\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\DiagramControls\DiagramControls.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 503, 27, 92, 622
"c:\RiskEstimationRecorder\software\source\imports\ui\components\DiagramControls\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Footer\Footer.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Footer\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\AxisFrames\CenterAxisFrame\CenterAxisFrame.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 208, 0, 36, 244
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\AxisFrames\CenterAxisFrame\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\AxisFrames\XAxisFrame\XAxisFrame.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 171
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\AxisFrames\XAxisFrame\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\AxisFrames\YAxisFrame\YAxisFrame.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 135
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\AxisFrames\YAxisFrame\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\InnerGraphContainer\InnerGraphContainer.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 51
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\InnerGraphContainer\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\MxGraphMessageSummary\MxGraphMessageSummary.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 5, 19, 84
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\NoSurveysFound\NoSurveysFound.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 16, 42
"c:\RiskEstimationRecorder\software\source\imports\ui\components\GraphContainer\SurveyCompleted\SurveyCompleted.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 16, 42
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Header\DashboardHeader\DashboardHeader.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 4, 28, 135
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Header\DashboardHeader\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Header\DefaultHeader\DefaultHeader.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 4, 27, 134
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Header\DefaultHeader\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Header\Header.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 4, 25, 131
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Header\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\AxisSubModal\AxisSubModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 9, 25
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\AxisSubModal\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\CalculationsSubModal\CalculationsSubModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 7, 43
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\CalculationsSubModal\DataCorrectionSubModal\DataCorrectionSubModal.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 14, 210
"c:\RiskEstimationRecorder\software\source\imports\ui\components\Modals\Settings\SurveyNodesSettings\SubModals\CalculationsSubModal\DataCorrectionSubModal\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
